R1-PINH1,91.59,47.59,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,10.37,88.51,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,125.47,37.65,180.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,123.89,26.21,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,74.03,5.09,180.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,159.03,-5.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,88.15,48.81,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,154.30,32.30,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.30,33.40,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,131.55,33.44,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,71.07,1.64,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,68.65,2.81,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,38.63,28.55,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,50.33,19.03,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,54.63,19.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,53.01,19.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,76.11,13.89,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.95,97.45,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.57,96.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,92.31,41.41,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.61,97.02,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,77.55,13.87,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.61,97.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.37,-0.15,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,68.42,0.89,0.00,,SJ
TP1,1.99,47.31,0.00,TPTP20R,TP20R
TP10,72.22,36.01,0.00,TPTP20R,TP20R
TP11,47.87,13.31,0.00,TPTP20R,TP20R
TP12,61.97,45.11,0.00,TPTP20R,TP20R
TP13,68.72,39.11,0.00,TPTP20R,TP20R
TP14,142.37,45.11,0.00,TPTP20R,TP20R
TP15,57.82,48.51,0.00,TPTP20R,TP20R
TP16,82.07,28.81,0.00,TPTP20R,TP20R
TP17,90.12,11.21,0.00,TPTP20R,TP20R
TP2,1.99,50.89,0.00,TPTP20R,TP20R
TP3,138.61,36.89,0.00,TPTP20R,TP20R
TP4,127.23,9.99,0.00,TPTP20R,TP20R
TP5,58.75,69.59,0.00,TPTP20R,TP20R
TP6,10.37,57.49,0.00,TPTP20R,TP20R
TP7,61.79,25.89,0.00,TPTP20R,TP20R
TP8,59.71,3.69,0.00,TPTP20R,TP20R
TP9,65.33,41.79,0.00,TPTP20R,TP20R
U1,44.64,34.36,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.16,34.00,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.00,42.01,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,141.40,39.80,0.00,MAX17048G+T10,SON50P200X200X80-9N
